path;file_name;tipo;fecha;numero_factura;emisor;cif_emisor;cliente;cif;modelo;matricula;concepto;base;iva;importe;tasas;is_validated;procesado_en
C:/Users/cobip/OneDrive/Escritorio/Imprimir/111791810_152228315_autodoc.pdf;111791810_152228315_autodoc.pdf;COMPRA;10.11.2025;111791810;AUTODOC SE;PL5263156328;NEWSATELITE S.L;B85629020;;;;51.96;10.91;62.87;;1;2025-12-13T11:17:46.843260
C:/Users/cobip/OneDrive/Escritorio/Imprimir/303536_autolux.pdf;303536_autolux.pdf;COMPRA;31-10-2025;25.102.113;Autolux Recambios S.L.;B02819530;NEWSATELITE S.L;B85629020;;;;36.16;7.59;43.75;;1;2025-12-13T11:17:45.042788
C:/Users/cobip/OneDrive/Escritorio/Imprimir/307372_autolux.pdf;307372_autolux.pdf;COMPRA;10-11-2025;25.105.997;Autolux Recambios S.L.;B02819530;NEWSATELITE S.L;B85629020;;;;132.11;27.74;159.85;;1;2025-12-13T11:17:45.084483
C:/Users/cobip/OneDrive/Escritorio/Imprimir/4900C861899341FE11A2C52035E25A7C_leroy merlin.pdf;4900C861899341FE11A2C52035E25A7C_leroy merlin.pdf;COMPRA;03/11/2025;050-0011-172985;Leroy Merlin Espana S.L.U;B84818442;NEWSATELITE S.L;B85629020;;;;35.68;7.49;43.17;;1;2025-12-13T11:17:44.986431
C:/Users/cobip/OneDrive/Escritorio/Imprimir/894005_pinchete.pdf;894005_pinchete.pdf;COMPRA;15/10/2025;FC I25 0100001079;RECAMBIOS PINCHETE S.L;B86898384;NEWSATELITE S.L;B85629020;;;;334.65;70.28;404.93;;1;2025-12-13T11:17:45.136192
C:/Users/cobip/OneDrive/Escritorio/Imprimir/902000_pinchete.pdf;902000_pinchete.pdf;COMPRA;31/10/2025;FC I25 0100001117;RECAMBIOS PINCHETE S.L;B86898384;NEWSATELITE S.L;B85629020;;;;236.53;49.67;286.2;;1;2025-12-13T11:17:45.182722
C:/Users/cobip/OneDrive/Escritorio/Imprimir/907484_pinchete.pdf;907484_pinchete.pdf;COMPRA;15/11/2025;FC I25 0100001165;RECAMBIOS PINCHETE S.L;B86898384;NEWSATELITE S.L;B85629020;;;;124.05;26.05;150.1;;1;2025-12-13T11:17:45.217919
C:/Users/cobip/OneDrive/Escritorio/Imprimir/Berolkemi.pdf;Berolkemi.pdf;COMPRA;14/11/2025;25/3.329;BEROL KEMI, S.L;B79841052;NEWSATELITE S.L;B85629020;;;;75.23;15.8;91.03;;1;2025-12-13T11:17:46.897885
C:/Users/cobip/OneDrive/Escritorio/Imprimir/C280__25_0360818_sumauto.pdf;C280__25_0360818_sumauto.pdf;COMPRA;08/07/2025;C280FP25_0360818;Sumauto Motor, S.L.;B88049341;NEWSATELITE S.L;B85629020;;;;140.01;29.4;169.41;;1;2025-12-13T11:17:46.951807
C:/Users/cobip/OneDrive/Escritorio/Imprimir/C280__25_0368099_sumauto.pdf;C280__25_0368099_sumauto.pdf;COMPRA;08/10/2025;C280FP25_0368099;Sumauto Motor, S.L.;B88049341;NEWSATELITE S.L;B85629020;;;;100.0;21.0;121.0;;1;2025-12-13T11:17:46.988500
C:/Users/cobip/OneDrive/Escritorio/Imprimir/C280__25_0370507_sumauto.pdf;C280__25_0370507_sumauto.pdf;COMPRA;07/11/2025;C280FP25_0370507;Sumauto Motor, S.L.;B88049341;NEWSATELITE S.L;B85629020;;;;100.0;21.0;121.0;;1;2025-12-13T11:17:47.031386
C:/Users/cobip/OneDrive/Escritorio/Imprimir/F 47 2025 NEW SATELITE_amor de dios.pdf;F 47 2025 NEW SATELITE_amor de dios.pdf;COMPRA;01/11/2025;FG-47/2025;Hermanas del Amor de Dios Casa General;R4900012H;NEWSATELITE S.L;B85629020;;;;700.0;147.0;847.0;;1;2025-12-13T11:17:52.592696
C:/Users/cobip/OneDrive/Escritorio/Imprimir/FRA1463-2025-25_boxes.pdf;FRA1463-2025-25_boxes.pdf;COMPRA;01/10/2025;1463/25;BOXES INTEGRALCAR, S.L;B-84962851;NEWSATELITE S.L;B85629020;475;3311LKT;;60.0;12.6;72.6;;1;2025-12-13T11:17:56.914295
C:/Users/cobip/OneDrive/Escritorio/Imprimir/FRA1580-2025-25_boxes.pdf;FRA1580-2025-25_boxes.pdf;COMPRA;21/10/2025;1580/25;BOXES INTEGRALCAR, S.L;B-84962851;NEWSATELITE S.L;B85629020;;3337JJR;;160.0;33.6;193.6;;1;2025-12-13T11:17:56.949783
C:/Users/cobip/OneDrive/Escritorio/Imprimir/FRA1741-2025-25_boxes.pdf;FRA1741-2025-25_boxes.pdf;COMPRA;18/11/2025;1741/25;BOXES INTEGRALCAR, S.L;B-84962851;NEWSATELITE S.L;B85629020;;7800LJX;;328.2;68.92;397.12;;1;2025-12-13T11:17:56.991136
C:/Users/cobip/OneDrive/Escritorio/Imprimir/FT225_2161-ADAN_musas.pdf;FT225_2161-ADAN_musas.pdf;COMPRA;14/10/2025;FT225 2161;Motor Las Musas, S.L.;AB81583445;NEWSATELITE S.L;B85629020;3521LPK;3521LPK;;66.5;13.96;80.47;;1;2025-12-13T11:17:57.027200
C:/Users/cobip/OneDrive/Escritorio/Imprimir/Factura NUEVO SATELITE, S.L. - ECOM20250034 - 1327_ircongas.pdf;Factura NUEVO SATELITE, S.L. - ECOM20250034 - 1327_ircongas.pdf;COMPRA;29/10/25;ECOM20250034;IRCONGAS ENERGIAS ALTERNATIVAS AUTOMOCION, S.L.;B85579332;NEWSATELITE S.L;B85629020;;;;23.02;4.83;27.85;;1;2025-12-13T11:17:54.595816
C:/Users/cobip/OneDrive/Escritorio/Imprimir/Factura_25D048142-00101717_beroil.PDF;Factura_25D048142-00101717_beroil.PDF;COMPRA;31/10/2025;25D048142;BEROIL, S.L.U;B09417957;NEWSATELITE S.L;B85629020;;;;175.83;36.92;212.75;;1;2025-12-13T11:17:55.438771
C:/Users/cobip/OneDrive/Escritorio/Imprimir/Fra_FCR202500000026727_hergar.pdf;Fra_FCR202500000026727_hergar.pdf;COMPRA;10/07/2025;26727;Hermanos García López  S.A. (HERGAR);A-78009172;NEWSATELITE S.L;B85629020;;;PIEZAS COCHES;31.0;6.51;37.51;;1;2025-12-13T11:17:56.876902
C:/Users/cobip/OneDrive/Escritorio/Imprimir/ILA7F87472_autodescuento.pdf;ILA7F87472_autodescuento.pdf;COMPRA;04/11/2025;9010;AUTODESCUENTO SL;ESB83701003;NEWSATELITE S.L;B85629020;;;;139.3;21.0;168.55;;1;2025-12-13T11:17:57.685473
C:/Users/cobip/OneDrive/Escritorio/Imprimir/ILAC962486_autodescuento_OCTUBRE.pdf;ILAC962486_autodescuento_OCTUBRE.pdf;COMPRA;02/10/2025;8229;AUTODESCUENTO SL;B83701003;NEWSATELITE S.L;B85629020;;;;119.5;21.0;144.6;;1;2025-12-13T11:17:57.727066
C:/Users/cobip/OneDrive/Escritorio/Imprimir/RECICLADOS AUTO4 SL_FACTURAV_2025009453FRU_RECICLADOS AUTOS.pdf;RECICLADOS AUTO4 SL_FACTURAV_2025009453FRU_RECICLADOS AUTOS.pdf;COMPRA;;025009453/FRU;RECICLADOS AUTO4 SL;B40243719;NEWSATELITE S.L;B85629020;;;;12.4;2.6;15.0;;1;2025-12-13T11:17:58.387026
